,Position,AvgFinishes,Round,Year,CumulativePoints,TeamAvgFinish,TeamRollingAvg,PointsShifted
285,7.0,11.0,15,2024,110.0,7.5,8.833333333333334,0.0
286,8.0,9.333333333333334,15,2024,140.0,7.5,9.5,25.0
287,9.0,11.333333333333334,15,2024,6.0,12.0,13.666666666666666,0.0
288,10.0,7.333333333333333,15,2024,49.0,11.5,9.833333333333334,4.0
289,11.0,13.0,15,2024,20.0,14.5,15.333333333333334,0.0
290,12.0,12.0,15,2024,7.0,14.5,12.166666666666666,1.0
291,13.0,13.0,15,2024,24.0,11.5,10.166666666666666,0.0
292,14.0,11.0,15,2024,4.0,15.0,14.833333333333334,0.0
293,15.0,10.666666666666666,15,2024,5.0,12.0,11.333333333333334,2.0
294,16.0,12.666666666666666,15,2024,0.0,15.0,14.666666666666666,0.0
295,17.0,14.0,15,2024,21.0,14.5,13.5,0.0
296,18.0,15.666666666666666,15,2024,5.0,14.5,15.5,0.0
297,19.0,15.0,15,2024,0.0,19.5,17.166666666666668,0.0
298,20.0,16.0,15,2024,0.0,19.5,17.833333333333332,0.0
299,1.0,12.333333333333334,16,2024,178.0,2.5,4.166666666666667,15.0
300,2.0,8.666666666666666,16,2024,167.0,2.5,2.8333333333333335,12.0
301,3.0,2.6666666666666665,16,2024,216.0,2.5,2.5,26.0
302,4.0,3.3333333333333335,16,2024,160.0,2.5,3.5,10.0
303,5.0,4.666666666666667,16,2024,144.0,6.0,8.5,4.0
304,6.0,5.0,16,2024,271.0,7.0,4.5,18.0
305,7.0,5.666666666666667,16,2024,116.0,6.0,7.0,6.0
306,8.0,5.0,16,2024,126.0,7.0,5.0,8.0
307,9.0,9.0,16,2024,4.0,10.5,14.833333333333334,0.0
308,10.0,12.666666666666666,16,2024,5.0,13.5,15.0,0.0
309,11.0,14.0,16,2024,50.0,15.0,10.833333333333334,1.0
310,12.0,14.0,16,2024,0.0,10.5,13.5,10.5
311,13.0,11.0,16,2024,7.0,16.5,14.0,0.0
312,14.0,13.5,16,2024,5.0,14.5,11.666666666666666,0.0
313,15.0,12.0,16,2024,8.0,14.5,12.833333333333334,2.0
314,16.0,14.333333333333334,16,2024,0.0,17.0,18.666666666666668,0.0
315,17.0,13.0,16,2024,20.0,13.5,14.166666666666666,0.0
316,18.0,16.666666666666668,16,2024,0.0,17.0,18.666666666666668,0.0
317,19.0,14.666666666666666,16,2024,24.0,15.0,12.666666666666666,0.0
318,20.0,16.666666666666668,16,2024,21.0,16.5,15.166666666666666,0.0
319,1.0,10.666666666666666,17,2024,185.0,2.5,2.5,18.0
320,2.0,6.666666666666667,17,2024,203.0,10.0,3.0,25.0
321,3.0,3.3333333333333335,17,2024,122.0,6.0,6.5,6.0
322,4.0,3.6666666666666665,17,2024,232.0,2.5,2.5,16.0
323,5.0,5.333333333333333,17,2024,279.0,11.0,6.0,8.0
324,6.0,6.666666666666667,17,2024,50.0,12.5,13.833333333333334,0.0
325,7.0,8.666666666666666,17,2024,6.0,7.5,12.0,2.0
326,8.0,10.666666666666666,17,2024,0.0,7.5,9.5,0.0
327,9.0,8.666666666666666,17,2024,154.0,6.0,6.0,10.0
328,10.0,8.0,17,2024,6.0,10.5,13.833333333333334,6.0
329,11.0,9.666666666666666,17,2024,20.0,10.5,12.5,0.0
330,12.0,13.0,17,2024,8.0,13.5,13.666666666666666,0.0
331,13.0,15.0,17,2024,7.0,16.5,15.833333333333334,0.0
332,14.0,15.333333333333334,17,2024,0.0,15.0,17.833333333333332,0.0
333,15.0,15.0,17,2024,5.0,13.5,14.166666666666666,0.0
334,16.0,16.0,17,2024,0.0,15.0,16.333333333333332,0.0
335,17.0,12.666666666666666,17,2024,130.0,11.0,8.333333333333334,4.0
336,18.0,9.333333333333334,17,2024,172.0,10.0,5.0,12.0
337,19.0,10.333333333333334,17,2024,24.0,12.5,14.166666666666666,0.0
338,20.0,14.333333333333334,17,2024,21.0,16.5,16.5,0.0
339,1.0,14.333333333333334,18,2024,245.0,2.0,2.5,13.0
340,2.0,9.666666666666666,18,2024,289.0,6.0,9.666666666666666,10.0
341,3.0,3.3333333333333335,18,2024,210.0,2.0,2.3333333333333335,25.0
342,4.0,3.0,18,2024,137.0,5.0,6.0,15.0
343,5.0,2.0,18,2024,221.0,6.0,7.5,18.0
344,6.0,4.666666666666667,18,2024,156.0,5.0,5.666666666666667,2.0
345,7.0,9.666666666666666,18,2024,172.0,6.0,8.666666666666666,0.0
346,8.0,11.0,18,2024,58.0,11.0,13.333333333333334,8.0
347,9.0,11.666666666666666,18,2024,20.0,14.0,11.5,0.0
348,10.0,11.333333333333334,18,2024,130.0,6.0,9.333333333333334,0.0
